atļautais,atļautais,
abhāzu,abhazu,
abos,obejūs,
absolūtam,absolutam,
absolūtu,absolutu,
adaptīvā,adaptivuo,
adaptīvās,adaptivuos,
adekvāta,adekvata,
administratora,administratora,
administratoram,administratoram,
administrators,administrators,
administratoru,administratoru,
adrese,adress,
adresei,adresam,
adreses,adresi,
adresi,adresu,
adresē,adresā,
adresēm,adresim,
adresēs,adresūs,
adrešu,adresu,
afaru,afaru,
afganistāna,afganistana,
agrāk,agruok,
agrāks,agruoks,
agušu,augšu,
ahoi,ahoi,
aimaru,aimaru,
ainava,ainova,
aizdomīgu,aizdūmeigu,
aiziešanas,aizīšonys,
aizkodētos,aizkodātūs,
aizliegti,aizlīgti,
aizliegts,aizlīgts,
aizmirsis,aizmierss,
aizmirst,aizmierst,
aizmirst,damierst,
aizmirstas,aizamierst,
aizmirstot,aizmierstūt,
aizmirsts,aizmiersts,
aizmirsāt,aizmiersot,
aizmirsīsiet,aizmierssit,
aizpilde,aizpiļde,
aizpildiet,aizpiļdit,
aizpildot,aizpyldūt,
aizpildošs,aizpyldūšs,
aizpildīto,aizpyldātū,
aizsardzība,aizsardzeiba,
aizsardzībai,aizsardzeibai,
aizsardzību,aizsardzeibu,
aizsargā,aizsorgoj,
aizsargās,aizsorguos,
aizsargāt,aizsorguot,
aizsargāta,aizsorguota,
aizsargātas,aizsorguotys,
aizsargāts,aizsorguots,
aizsargātu,aizsorguotu,
aizsargāšanai,aizsorguošonai,
aizstāj,aizstuoj,
aizstājvārds,aizstuojvuords,
aizstājējzīme,aizstuojzeime,
aizstājējzīmes,aizstuojzeimis,
aizstāt,aizstuot,
aizstāti,aizstuoti,
aizstāts,aizstuots,
aizture,aizture,
aizturi,aizturi,
aizver,aiztaisa,
aizveriet,aiztaisit,
aizverot,aiztaisūt,
aizverošā,aiztaisūšo,
aizverošās,aiztaisūšos,
aizveru,aiztaisu,
aizvieto,aizvītoj,
aizvietojot,aizvītojūt,
aizvietos,aizvītuos,
aizvietot,aizvītuot,
aizvietošanas,aizvītuošonys,
aizvācamos,aizvuocamūs,
aizvācamās,aizvuocamuos,
